Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6177;d70dd1a2df60fc85fdb42b105be81249baa38fc1;0;Hairong Kuang;2009-08-11 16:26:55;Hairong Kuang;2009-08-11 16:26:55;return:1 position:1 greater:1 file:1 size:1 contributed:1 tang:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;FSInputChecker.java;src/java/org/apache/hadoop/fs/FSInputChecker.java;MODIFY;1;0;1;0;21;205.0;53.0;1286.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6177;d70dd1a2df60fc85fdb42b105be81249baa38fc1;0;Hairong Kuang;2009-08-11 16:26:55;Hairong Kuang;2009-08-11 16:26:55;return:1 position:1 greater:1 file:1 size:1 contributed:1 tang:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;TestChecksumFileSystem.java;src/test/core/org/apache/hadoop/fs/TestChecksumFileSystem.java;MODIFY;1;1;7;3;2;51.0;3.0;479.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6177;d70dd1a2df60fc85fdb42b105be81249baa38fc1;0;Hairong Kuang;2009-08-11 16:26:55;Hairong Kuang;2009-08-11 16:26:55;return:1 position:1 greater:1 file:1 size:1 contributed:1 tang:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;TestLocalFileSystem.java;src/test/core/org/apache/hadoop/fs/TestLocalFileSystem.java;MODIFY;1;1;3;2;7;110.0;14.0;1053.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6188;38a84a6c98b05ff8d6084bd443fe8bb91ce3c322;0;Tsz-wo Sze;2009-08-11 21:03:50;Tsz-wo Sze;2009-08-11 21:03:50;uses:1 java:1 io:1 file:1 contributed:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;CHANGES.txt;CHANGES.txt;MODIFY;0;0;3;0;0;7227.0;0.0;37213.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6188;38a84a6c98b05ff8d6084bd443fe8bb91ce3c322;0;Tsz-wo Sze;2009-08-11 21:03:50;Tsz-wo Sze;2009-08-11 21:03:50;uses:1 java:1 io:1 file:1 contributed:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;TestTrash.java;src/test/core/org/apache/hadoop/fs/TestTrash.java;MODIFY;1;1;23;15;15;374.0;41.0;2717.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6192;ec8208f5d3480c20f7ad122c5b95bc9a6adafb20;0;Arun Murthy;2009-08-14 08:16:10;Arun Murthy;2009-08-14 08:16:10;fix:1 shell:1 rely:1 map:1 reduce:1 specific:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;CHANGES.txt;CHANGES.txt;MODIFY;0;0;3;0;0;7230.0;0.0;37213.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6192;ec8208f5d3480c20f7ad122c5b95bc9a6adafb20;0;Arun Murthy;2009-08-14 08:16:10;Arun Murthy;2009-08-14 08:16:10;fix:1 shell:1 rely:1 map:1 reduce:1 specific:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;Shell.java;src/java/org/apache/hadoop/util/Shell.java;MODIFY;1;0;29;2;30;269.0;61.0;1634.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6103;0a8e65c23b1a8380b4246f18755ebb5d3f376111;0;Devaraj Das;2009-08-21 06:59:45;Devaraj Das;2009-08-21 06:59:45;clones:1 part:1 configuration:1 clone:1 contributed:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;CHANGES.txt;CHANGES.txt;MODIFY;0;0;3;0;0;7238.0;0.0;37279.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6103;0a8e65c23b1a8380b4246f18755ebb5d3f376111;0;Devaraj Das;2009-08-21 06:59:45;Devaraj Das;2009-08-21 06:59:45;clones:1 part:1 configuration:1 clone:1 contributed:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;Configuration.java;src/java/org/apache/hadoop/conf/Configuration.java;MODIFY;1;0;7;0;72;775.0;194.0;5341.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6103;0a8e65c23b1a8380b4246f18755ebb5d3f376111;0;Devaraj Das;2009-08-21 06:59:45;Devaraj Das;2009-08-21 06:59:45;clones:1 part:1 configuration:1 clone:1 contributed:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;TestConfiguration.java;src/test/core/org/apache/hadoop/conf/TestConfiguration.java;MODIFY;1;1;11;4;25;335.0;33.0;2703.0
